peakNumber,peakLocation,FWHM,intensity,% Error
0,1.8325001193288568,0.028734826832020888,281.2363531212487,1.295023308999943
1,1.9275001329051122,0.043976691695411185,66.97249305132978,0.2814223188662044
2,2.037500148624987,N/A,62.48783611626236,0.14785380603208786
3,2.1175001600576238,0.036530572260898175,141.23112668225843,0.5217673567534523
4,2.267500181493816,0.049354579040922,48.44357465562253,0.25748252510256087
5,2.637500234369759,N/A,73.03489380759285,0.6981360047265155
6,2.752500250804174,0.0482109712872294,104.01699898259993,0.3248847415279003
7,2.9175002743839857,N/A,222.75284267550205,0.655286064407602
8,2.9925002851020825,0.039597936220198804,603.6741365518567,1.0574117197789212
9,3.512500359414218,0.059280480451923356,184.61838800237052,2.764754056428941
10,3.6725003822794906,N/A,117.0009573895949,0.8435823166960397
11,4.132500448017149,N/A,80.47338056478661,0.11194062072222226
12,4.237500463022484,0.11115966399073507,116.10490598869748,0.5734664170650325
13,4.53750050589487,0.05590371533950389,44.2433567741687,0.2084640304245045
14,4.622500518042045,0.04876867671607954,62.55566449027044,0.23947555060851305
15,4.742500535191,0.06633016370528377,53.41925257820046,0.8422474281812842
16,5.057500580207005,N/A,97.31872884794036,0.48598957517509517
17,5.192500599499579,N/A,126.51343367106593,35.858286909752266
