peakNumber,peakLocation,FWHM,intensity,% Error
0,1.7975001143270786,0.12045835781810865,33.72054665910997,2.8165013113049517
1,2.0525001507686063,0.17463950460953548,50.112928887682926,3.78756871834267
2,2.367500195784612,0.035822190614663185,19.977030596978807,0.20929529515494572
3,2.60750023008252,0.043419053822410625,30.70447919507444,3.125360316125984
4,2.702500243658776,0.03337171007218931,34.62401679600163,0.4580407338170062
5,2.922500275098525,0.04868015171247375,564.289634947816,6.248421314970785
6,3.4375003486961213,N/A,39.803715799591316,3.9538086147977243
7,3.5275003615578373,N/A,45.83443896332432,2.187027240819632
8,4.137500448731688,0.08051675032897432,74.09108884924188,3.225775343830633
9,4.517500503036711,0.1009306424335783,12.754661440814402,2.2553803401082693
10,5.072500582350624,0.1232138368763076,157.15199496214257,23.217402886090692
